region1,region2,region3,count
서귀포시,표선면,가시리,31
서귀포시,안덕면,감산리,10
제주시,애월읍,고내리,6
제주시,한경면,고산리,25
서귀포시,성산읍,고성리,34
제주시,애월읍,고성리,8
제주시,애월읍,곽지리,8
제주시,애월읍,광령리,39
서귀포시,안덕면,광평리,3
제주시,조천읍,교래리,28
서귀포시,대정읍,구억리,13
제주시,애월읍,구엄리,3
제주시,한림읍,귀덕리,35
제주시,한림읍,금능리,16
제주시,한경면,금등리,2
제주시,애월읍,금성리,2
제주시,한림읍,금악리,22
제주시,구좌읍,김녕리,16
제주시,한경면,낙천리,7
서귀포시,성산읍,난산리,14
서귀포시,남원읍,남원리,36
제주시,애월읍,납읍리,12
제주시,한림읍,대림리,17
제주시,조천읍,대흘리,42
서귀포시,안덕면,덕수리,15
제주시,구좌읍,덕천리,19
서귀포시,안덕면,동광리,18
제주시,한림읍,동명리,14
제주시,구좌읍,동복리,6
서귀포시,대정읍,동일리,9
제주시,한경면,두모리,13
제주시,한림읍,명월리,7
서귀포시,대정읍,무릉리,19
서귀포시,대정읍,보성리,10
제주시,애월읍,봉성리,15
제주시,조천읍,북촌리,12
서귀포시,안덕면,사계리,24
서귀포시,성산읍,삼달리,22
제주시,애월읍,상가리,10
제주시,애월읍,상귀리,20
제주시,한림읍,상대리,4
제주시,구좌읍,상도리,9
제주시,한림읍,상명리,7
서귀포시,대정읍,상모리,21
서귀포시,안덕면,상창리,17
서귀포시,안덕면,상천리,4
서귀포시,안덕면,서광리,32
제주시,조천읍,선흘리,49
서귀포시,성산읍,성산리,13
서귀포시,표선면,성읍리,26
서귀포시,표선면,세화리,23
제주시,구좌읍,세화리,13
제주시,애월읍,소길리,8
제주시,구좌읍,송당리,46
서귀포시,남원읍,수망리,19
서귀포시,성산읍,수산리,29
제주시,애월읍,수산리,13
제주시,한림읍,수원리,4
서귀포시,성산읍,시흥리,4
서귀포시,대정읍,신도리,8
서귀포시,남원읍,신례리,29
서귀포시,성산읍,신산리,12
제주시,애월읍,신엄리,14
제주시,한경면,신창리,11
서귀포시,성산읍,신천리,8
제주시,조천읍,신촌리,18
서귀포시,대정읍,신평리,8
서귀포시,성산읍,신풍리,10
서귀포시,남원읍,신흥리,36
제주시,조천읍,신흥리,3
서귀포시,대정읍,안성리,5
제주시,애월읍,애월리,15
제주시,애월읍,어음리,15
서귀포시,대정읍,영락리,4
서귀포시,성산읍,오조리,15
서귀포시,성산읍,온평리,9
제주시,한림읍,옹포리,8
제주시,조천읍,와산리,11
제주시,조천읍,와흘리,29
제주시,한경면,용수리,12
제주시,한림읍,월령리,2
제주시,한림읍,월림리,9
제주시,구좌읍,월정리,10
서귀포시,남원읍,위미리,33
제주시,애월읍,유수암리,24
서귀포시,남원읍,의귀리,20
서귀포시,대정읍,인성리,5
서귀포시,대정읍,일과리,12
제주시,애월읍,장전리,13
제주시,한경면,저지리,38
제주시,한경면,조수리,14
제주시,조천읍,조천리,33
제주시,구좌읍,종달리,10
서귀포시,안덕면,창천리,11
제주시,한경면,청수리,35
서귀포시,남원읍,태흥리,14
서귀포시,표선면,토산리,24
제주시,한경면,판포리,4
제주시,구좌읍,평대리,15
서귀포시,표선면,표선리,39
제주시,애월읍,하가리,19
제주시,애월읍,하귀1리,25
제주시,애월읍,하귀2리,17
제주시,구좌읍,하도리,17
서귀포시,남원읍,하례리,26
서귀포시,대정읍,하모리,21
서귀포시,표선면,하천리,26
서귀포시,남원읍,한남리,12
제주시,구좌읍,한동리,9
제주시,한림읍,한림리,12
제주시,한림읍,한수리,2
제주시,조천읍,함덕리,32
제주시,구좌읍,행원리,10
제주시,한림읍,협재리,9
서귀포시,안덕면,화순리,20
서귀포시,강정동,강정동,61
서귀포시,대포동,대포동,22
서귀포시,도순동,도순동,10
서귀포시,동홍동,동홍동,53
서귀포시,법환동,법환동,32
서귀포시,보목동,보목동,15
서귀포시,상예동,상예동,15
서귀포시,상효동,상효동,34
서귀포시,색달동,색달동,33
서귀포시,서귀동,서귀동,52
서귀포시,서호동,서호동,38
서귀포시,서홍동,서홍동,27
서귀포시,신효동,신효동,22
서귀포시,월평동,월평동,14
서귀포시,중문동,중문동,34
서귀포시,토평동,토평동,52
서귀포시,하예동,하예동,8
서귀포시,하원동,하원동,12
서귀포시,하효동,하효동,18
서귀포시,호근동,호근동,27
서귀포시,회수동,회수동,8
제주시,건입동,건입동,26
제주시,내도동,내도동,7
제주시,노형동,노형동,82
제주시,도남동,도남동,15
제주시,도두이동,도두이동,4
제주시,도두일동,도두일동,12
제주시,도련이동,도련이동,8
제주시,도련일동,도련일동,19
제주시,도평동,도평동,6
제주시,봉개동,봉개동,51
제주시,삼도이동,삼도이동,10
제주시,삼도일동,삼도일동,17
제주시,삼양삼동,삼양삼동,3
제주시,삼양이동,삼양이동,11
제주시,삼양일동,삼양일동,9
제주시,아라이동,아라이동,12
제주시,아라일동,아라일동,55
제주시,연동,연동,63
제주시,영평동,영평동,38
제주시,오등동,오등동,22
제주시,오라삼동,오라삼동,6
제주시,오라이동,오라이동,32
제주시,오라일동,오라일동,13
제주시,외도이동,외도이동,3
제주시,외도일동,외도일동,21
제주시,용강동,용강동,12
제주시,용담삼동,용담삼동,16
제주시,용담이동,용담이동,35
제주시,용담일동,용담일동,19
제주시,월평동,월평동,15
제주시,이도이동,이도이동,49
제주시,이도일동,이도일동,13
제주시,이호이동,이호이동,10
제주시,이호일동,이호일동,11
제주시,일도이동,일도이동,45
제주시,일도일동,일도일동,7
제주시,해안동,해안동,14
제주시,화북이동,화북이동,27
제주시,화북일동,화북일동,25
제주시,회천동,회천동,11
제주시,애월읍,하귀리,42
